track_name,artist.s._name,artist_count,released_year,released_month,in_spotify_playlists,in_spotify_charts,streams,danceability_.,valence_.,liveness_.
Heat Waves,Glass Animals,1,2020,6,22543,63,2557975762,76,53,9
golden hour,JVKE,1,2022,7,4511,36,751134527,51,14,25
Sweater Weather,The Neighbourhood,1,2012,5,16413,61,2282771485,61,41,10
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,8506,45,1356565093,62,55,23
Viva La Vida,Coldplay,1,2008,1,33898,62,1592909789,49,42,11
Here With Me,d4vd,1,2022,7,3246,23,635412045,58,27,12
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,8576,42,1230675890,71,24,27
Yandel 150,"Yandel, Feid",2,2022,12,3618,38,585695368,78,58,10
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,370,20,43857627,68,40,30
Riptide,Vance Joy,1,1975,1,31123,55,2009094673,48,50,15
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,2790,30,600976848,34,32,20
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,267,9,39709092,63,36,35
Back To December (Taylor's Version),Taylor Swift,1,2023,7,139,17,39228929,50,20,12
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,17050,36,2665343922,59,48,10
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,2114,44,223633238,78,70,11
Someone You Loved,Lewis Capaldi,1,2018,11,17836,53,2887241814,50,45,11
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,8870,43,1440757818,91,43,9
Makeba,Jain,1,2015,6,6060,53,165484133,82,40,25
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,641,50,58054811,63,84,9
Fast Car,Luke Combs,1,2023,3,1446,12,157058870,71,67,12
What It Is (Solo Version),Doechii,1,2023,3,804,25,95131998,74,76,10
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,1962,38,250305248,68,14,10
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,4875,23,685032533,62,19,6
Still With You,Jung Kook,1,2020,6,31,39,38411956,53,34,83
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,2175,23,144565150,83,69,10
Say Yes To Heaven,Lana Del Rey,1,2023,3,2000,46,127567540,49,17,11
Snooze,SZA,1,2022,12,2839,25,399686758,56,39,11
Summertime Sadness,Lana Del Rey,1,2011,1,20333,52,983637508,56,24,12
Take Two,BTS,1,2023,6,674,47,118482347,62,57,38
Lover,Taylor Swift,1,2012,1,8448,23,882831184,43,50,15
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2110,58,286400165,68,17,11
Chemical,Post Malone,1,2023,4,2528,39,172825906,50,37,12
Mockingbird,Eminem,1,2004,1,12985,61,1241559043,62,24,13
New Jeans,NewJeans,1,2023,7,77,35,29562220,81,53,12
Primera Cita,Carin Leon,1,2022,4,266,27,77309611,54,50,10
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,21097,52,1605224506,80,92,10
Dandelions,Ruth B.,1,2017,4,3423,21,1116995633,61,45,9
Bones,Imagine Dragons,1,2021,3,4198,44,838079900,77,65,7
Set Fire to the Rain,Adele,1,2011,1,14739,43,1163620694,61,47,13
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,26792,32,1093605526,74,37,21
Tak Segampang Itu,Anggi Marito,1,2022,12,213,6,179659294,51,18,11
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,58,18,39058561,77,79,15
Mine (Taylor's Version),Taylor Swift,1,2023,7,99,15,36912123,65,49,17
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,41751,25,1205951614,64,54,11
No Role Modelz,J. Cole,1,2014,12,21164,36,1791000570,70,47,6
Tattoo,Loreen,1,2023,2,2988,59,201660859,55,30,12
Rara Vez,"Taiu, Milo j",2,2023,2,893,38,248088961,84,96,34
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,1094,34,90839753,82,89,23
august,Taylor Swift,1,2020,7,7324,22,607123776,51,42,9
LUNA,"Junior H, Peso Pluma",2,2023,6,201,11,55842345,75,79,15
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,5120,48,211050784,64,31,8
Nonsense,Sabrina Carpenter,1,2022,7,2346,27,342897938,74,68,26
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,763,26,2762,49,78,11
Por las Noches,Peso Pluma,1,2021,6,457,24,330346424,81,39,7
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,3430,38,601863821,87,57,29
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,6074,52,1953533826,63,88,10
Watermelon Sugar,Harry Styles,1,2019,11,21915,34,2322580122,55,56,34
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,15032,30,2355719893,35,12,10
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,871,32,66902503,78,59,26
Queencard,(G)I-DLE,1,2023,5,451,33,96273746,82,69,27
OMG,NewJeans,1,2023,1,1783,27,430977451,80,74,11
Radio,Lana Del Rey,1,2011,1,9389,46,284819874,42,20,9
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,5724,44,721975598,78,50,9
505,Arctic Monkeys,1,2007,4,13985,25,1217120710,52,20,7
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,1051,16,109276132,63,22,12
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,1682,46,276259178,75,48,18
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,182,8,54225632,76,96,9
Perfect,Ed Sheeran,1,2017,1,16596,13,2559529074,60,17,11
Romantic Homicide,d4vd,1,2022,7,2335,23,681583126,56,20,32
Believer,Imagine Dragons,1,2017,1,18986,23,2594040133,77,74,23
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,283,7,81102253,84,65,13
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,293,8,11956641,93,68,12
Without Me,Eminem,1,2002,1,21081,43,1687664027,92,67,36
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,437,31,11599388,79,92,6
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,1275,32,611700552,59,52,10
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6135,38,1133865788,65,27,53
Somewhere Only We Know,Keane,1,2004,1,20015,16,1089402494,45,33,8
Those Eyes,New West,1,2019,5,1507,14,411747614,60,24,31
El Gordo Trae El Mando,Chino Pacas,1,2023,1,539,21,255932395,74,96,5
Mi Bello Angel,Natanael Cano,1,2023,6,86,8,31873544,81,90,9
Bye,Peso Pluma,1,2023,5,324,14,95053634,78,70,10
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,17138,37,1279434863,47,86,5
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,894,9,233801632,69,61,31
Locked Out Of Heaven,Bruno Mars,1,2012,12,1622,9,1481349984,73,87,28
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,561,14,142095275,50,85,28
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,5871,27,618885532,54,40,9
Counting Stars,OneRepublic,1,2013,1,29215,43,2011464183,66,48,12
Ghost,Justin Bieber,1,2021,3,5866,24,1167330737,61,41,40
Under The Influence,Chris Brown,1,2019,10,3859,26,929964809,73,31,11
PRC,"Natanael Cano, Peso Pluma",2,2023,1,961,26,436027885,78,89,12
Gasolina,Daddy Yankee,1,2004,7,6457,18,657723613,86,74,8
One Dance,"Drake, WizKid, Kyla",3,2016,4,43257,24,2713922350,77,36,36
Enchanted,Taylor Swift,1,2010,1,4564,16,621660989,45,24,16
Save Your Tears,The Weeknd,1,2020,3,12688,13,1591223784,68,61,50
Sure Thing,Miguel,1,2010,5,13801,19,950906471,68,51,19
Every Breath You Take - Remastered 2003,The Police,1,1983,1,22439,19,1593270737,82,73,7
The Night We Met,Lord Huron,1,2015,2,18515,35,1410088830,45,10,64
We Found Love,"Rihanna, Calvin Harris",2,2011,1,36843,21,1235005533,73,60,11
When I Was Your Man,Bruno Mars,1,2012,12,2420,11,1661187319,60,43,14
Let Me Down Slowly,Alec Benjamin,1,2018,5,5897,19,1374581173,65,51,14
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,727,16,94186466,60,13,21
Do I Wanna Know?,Arctic Monkeys,1,2013,1,33783,26,1788326445,55,42,22
Demons,Imagine Dragons,1,2012,1,26694,13,1840364617,33,38,28
ýýýýýýýýýýýý,YOASOBI,1,2023,4,356,16,143573775,57,84,37
Reminder,The Weeknd,1,2016,11,6518,17,684675814,71,40,16
Shake It Off,Taylor Swift,1,2014,1,21335,13,1113838873,65,95,41
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,23389,29,1267333350,70,81,8
SNAP,Rosa Linn,1,2022,3,3202,18,726307468,56,53,45
Shape of You,Ed Sheeran,1,2017,1,32181,10,3562543890,83,93,9
Night Changes,One Direction,1,2014,11,7124,18,1131090940,67,40,12
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,592,14,307370144,70,37,9
Creep,Radiohead,1,1992,9,36724,7,1271293243,53,12,12
Car's Outside,James Arthur,1,2019,10,794,10,265882712,34,24,11
Apocalypse,Cigarettes After Sex,1,2017,3,13091,17,841749534,37,17,11
Cheques,Shubh,1,2023,5,67,8,47956378,74,36,27
Pink + White,Frank Ocean,1,2016,8,21574,30,806397070,54,54,42
Circles,Post Malone,1,2019,8,19664,16,2132335812,70,59,9
Just The Way You Are,Bruno Mars,1,2010,1,21106,13,1641426668,63,46,9
Take Me To Church,Hozier,1,2013,9,23804,31,2135158446,57,41,12
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,849,22,367316268,54,75,7
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,2619,12,350381515,63,49,9
Titi Me Preguntï¿,Bad Bunny,1,2022,5,9037,42,1264310836,65,19,13
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,86,11,30343206,50,67,19
Shut up My Moms Calling,Hotel Ugly,1,2020,2,1788,14,405136812,48,37,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,15890,14,1145727611,74,76,13
Es un Secreto,Plan B,1,2010,7,492,36,540654286,84,52,7
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,773,33,57312735,62,55,37
Ditto,NewJeans,1,2022,12,1154,22,397582059,81,18,10
Take On Me,a-ha,1,1984,10,44927,17,1479115056,57,86,9
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,551,4,86773632,61,20,12
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,577,14,133753727,53,24,10
Acrï¿½ï¿½s,Shakira,1,2023,5,955,29,123124076,75,35,10
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,995,19,463564958,77,79,27
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,178,6,64533040,56,53,12
S-Class,Stray Kids,1,2023,6,290,19,65496046,89,67,7
Hits Different,Taylor Swift,1,2023,5,547,0,68616963,67,24,30
Chanel,"Becky G, Peso Pluma",2,2023,3,681,10,161460990,85,53,9
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,332,5,70106975,78,5,13
Area Codes,"Kaliii, Kaliii",2,2023,3,1197,13,113509496,82,51,9
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,262,5,89933133,70,42,11
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,161,6,71007139,80,85,8
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,185,3,43522589,73,45,13
FLOWER,JISOO,1,2023,3,839,18,232896922,84,64,11
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,259,0,37126685,77,28,22
Eyes Closed,Ed Sheeran,1,2023,3,2915,30,195576623,78,39,11
Escapism.,"RAYE, 070 Shake",2,2022,10,5129,25,532336353,54,25,9
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,3794,34,538115192,71,58,32
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,588,0,46142772,62,7,58
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2959,16,401036314,72,45,20
Las Morras,"BLESSD, Peso Pluma",2,2023,4,291,8,127026613,78,90,7
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2321,36,345031710,74,61,35
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,536,10,288101651,66,85,14
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,359,2,60350538,66,32,11
Players,Coi Leray,1,2022,11,4096,6,335074782,95,62,5
Bite Me,ENHYPEN,1,2023,5,349,69,76767396,80,69,11
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,381,5,46065667,76,61,16
Normal,Feid,1,2022,7,2461,36,459276435,71,59,27
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,277,1,39666245,59,26,25
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,967,5,138517666,63,75,91
Bad Habit,Steve Lacy,1,2022,6,8186,12,822633917,69,69,38
CUFF IT,Beyoncï¿,1,2022,7,7842,10,595900742,78,64,7
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,215,6,51985779,43,14,19
69,"Nicky Jam, Feid",2,2023,5,1134,22,57945987,79,58,11
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,1305,34,115010040,82,47,10
Search & Rescue,Drake,1,2023,4,2066,6,175097833,82,54,33
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,896,0,57089066,78,20,16
Lavender Haze,Taylor Swift,1,2022,10,3763,8,488386797,73,10,16
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,197,0,32761689,92,59,26
Efecto,Bad Bunny,1,2022,5,4004,33,1047480053,80,23,6
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,984,5,153454328,59,63,80
Cupido,Tini,1,2023,2,1240,24,217672943,91,63,31
Just Wanna Rock,Lil Uzi Vert,1,2022,10,3995,13,457184829,49,4,6
Unstoppable,Sia,1,2016,1,7681,13,939844851,47,27,10
Until I Found You,Stephen Sanchez,1,2021,9,4427,4,726434358,34,25,18
Rich Flex,"Drake, 21 Savage",2,2022,11,4657,18,573633020,56,42,36
Easy On Me,Adele,1,2021,10,10195,20,1406111294,60,13,13
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,269,4,71573339,84,55,20
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,214,0,24975653,83,25,23
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,845,2,145458418,67,55,80
The Real Slim Shady,Eminem,1,2000,1,20763,27,1424589568,95,78,4
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,1267,20,231332117,84,96,18
The Color Violet,Tory Lanez,1,2021,12,2585,32,415932686,65,46,9
Glimpse of Us,Joji,1,2022,6,6330,6,988515741,44,27,14
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,675,1,50847624,62,56,12
Curtains,Ed Sheeran,1,2023,5,715,0,39893489,50,44,32
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,327,13,92035115,80,38,11
Haegeum,Agust D,1,2023,4,244,12,118810253,70,83,47
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,385,4,77233241,77,69,26
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,1020,35,206399629,52,57,15
Never Felt So Alone,Labrinth,1,2023,4,1730,3,117747907,44,36,38
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2127,33,266624541,79,58,11
ceilings,Lizzy McAlpine,1,2022,4,3242,9,293186992,51,27,22
Cupid,Fifty Fifty,1,2023,2,526,10,139681964,77,94,38
I AM,IVE,1,2023,4,366,15,123132751,68,38,8
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,472,2,103762518,74,75,9
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,432,12,162887075,93,47,10
Super,SEVENTEEN,1,2023,4,271,12,91221625,77,35,17
Slut Me Out,NLE Choppa,1,2022,4,816,4,190490915,94,71,53
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,1169,0,96180277,60,10,50
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,1282,6,185240616,72,40,13
PROVENZA,Karol G,1,2022,4,6587,34,885093467,87,53,11
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,1444,4,104992946,90,74,10
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,356,10,147290338,57,80,6
Shivers,Ed Sheeran,1,2021,9,10147,30,1302184087,79,82,4
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,265,6,158950978,76,80,6
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,351,9,76910644,76,26,41
Komang,Raim Laode,1,2022,8,158,4,137123880,70,35,10
DESPECHï¿,ROSALï¿½,1,2022,7,7613,33,782369383,92,78,6
Made You Look,Meghan Trainor,1,2022,10,3956,6,502574952,84,88,8
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,1638,10,207033255,69,36,15
No Se Va,Grupo Frontera,1,2022,4,924,18,404887295,59,69,23
Punto G,Quevedo,1,2022,11,1985,35,381161027,75,55,10
Lovers Rock,TV Girl,1,2014,6,6339,13,466231982,56,57,10
METAMORPHOSIS,INTERWORLD,1,2021,11,1561,24,357580552,59,15,12
Mami Chula,"Quevedo, Jhayco",2,2023,4,875,4,61105704,80,33,9
En Paris,"El Chachito, Junior H",2,2022,12,406,5,198275403,70,77,12
Set Me Free Pt.2,Jimin,1,2023,3,340,13,168448603,59,56,12
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,4188,15,705469769,32,17,17
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,105,0,34502215,54,19,37
Shut Down,BLACKPINK,1,2022,9,1524,17,482175240,82,67,18
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,2651,30,304118600,89,61,36
Call Out My Name,The Weeknd,1,2018,3,11087,6,1449799467,45,17,33
Like Crazy (English Version),Jimin,1,2023,3,373,19,173627354,62,32,39
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,200,4,90025258,70,86,11
Sunroof,"Nicky Youre, Dazy",2,2021,12,3741,17,652704649,77,84,15
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,32502,21,1829992958,70,6,36
Superman,"Eminem, Dina Rae",2,2002,5,7615,14,655466831,80,64,20
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,1208,34,146409671,82,53,9
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,209,4,95816024,73,44,32
REMIX EXCLUSIVO,Feid,1,2023,3,1235,9,117206995,65,71,15
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,654,3,100409613,72,79,15
DOGTOOTH,"Tyler, The Creator",2,2023,3,1479,0,80758350,71,80,22
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,4942,26,325592432,70,70,18
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,709,0,58473276,48,50,37
HAPPY,NF,1,2023,3,660,0,52722996,73,22,12
La Bebe,Yng Lvcas,1,2021,12,489,17,191945597,78,75,12
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,407,0,77377503,67,11,30
Late Night Talking,Harry Styles,1,2022,5,7461,8,743693613,71,90,11
